,open_covid_region_code,region_name,date,symptom:Aphonia,symptom:Crackles,symptom:Dysautonomia,symptom:Laryngitis,symptom:Ventricular fibrillation,hospitalized_new,hospitalized_cumulative
131,US-SD,South Dakota,2020-05-18,4.108590432967677,3.6793819354784976,4.372232016191989,3.407303821591008,5.321341715799512,4.0,316.0
132,US-SD,South Dakota,2020-05-25,4.157100484280951,3.7205100224614904,3.638253848495505,3.3978127245949326,5.821206157592807,6.0,370.0
133,US-SD,South Dakota,2020-06-01,4.205610535594224,3.6812801548777125,4.087499106309733,4.486125180144892,4.8626053609892095,3.0,435.0
134,US-SD,South Dakota,2020-06-08,4.254120586907498,3.642050287293935,5.4162526857602655,3.1890085906812775,3.9040045643856116,4.0,482.0
135,US-SD,South Dakota,2020-06-15,4.302630638220771,3.6028204197101577,4.688601916061164,3.8217483904196263,5.954081515537862,5.0,544.0
136,US-SD,South Dakota,2020-06-22,4.351140689534045,3.56359055212638,5.732622585629439,4.454488190157975,4.9353704379591194,8.0,616.0
137,US-SD,South Dakota,2020-06-29,4.399650740847318,3.5243606845426023,4.511434772134426,3.8660401764013104,4.593690946100412,5.0,657.0
138,US-SD,South Dakota,2020-07-06,4.448160792160592,4.062189514320199,4.448160792160592,3.277592162644646,4.916388243966969,1.0,692.0
139,US-SD,South Dakota,2020-07-13,3.347193540615865,3.8154209924222426,5.998373301519546,3.8280757884170096,5.998373301519546,4.0,742.0
140,US-SD,South Dakota,2020-07-20,4.261502551237778,3.956732881030474,5.4731992677367165,4.378559414189373,5.783241769608508,0.0,774.0
141,US-SD,South Dakota,2020-07-27,5.1758115618596925,4.0980447696387055,6.270451415407035,4.233029260249553,5.878152739569259,5.0,806.0
142,US-SD,South Dakota,2020-08-03,4.467142986152742,4.239356658246937,6.1692130474489,4.9353704379591194,7.093013155066889,3.0,838.0
143,US-SD,South Dakota,2020-08-10,3.7584744104457912,4.380668546855168,3.676218236479806,4.441833394163208,5.131519775878008,6.0,882.0
144,US-SD,South Dakota,2020-08-17,3.049805834738841,4.521980435463399,4.017897728338514,5.580765033692236,8.187653008614232,5.0,921.0
145,US-SD,South Dakota,2020-08-24,3.17635379468651,4.66329232407163,5.504836257723634,3.037151038744074,5.574437635694853,6.0,965.0
146,US-SD,South Dakota,2020-08-31,4.384886812186757,6.0363376895038465,4.093826504307116,3.5243606845426023,6.972792593116602,12.0,1029.0
147,US-SD,South Dakota,2020-09-07,2.9548948647780886,4.359577220197222,6.396999375354705,4.413360103174982,6.048992485498614,5.0,1084.0
148,US-SD,South Dakota,2020-09-14,4.53674436412396,7.25752550299886,3.416794918587083,5.302359521807363,7.883937904739826,6.0,1171.0
149,US-SD,South Dakota,2020-09-21,4.403869006178907,5.3846156957733475,5.3846156957733475,4.441833394163209,8.326855764556669,9.0,1297.0
150,US-SD,South Dakota,2020-09-28,2.948567466780705,4.910060845969586,8.984905156284551,3.5813072665190537,5.6820034016503715,15.0,1488.0
